iter	MultiClass
0	1.647270411
1	1.459457378
2	1.331820917
3	1.231474094
4	1.150837552
5	1.085535651
6	1.030583679
7	0.9841438043
8	0.9450722304
9	0.9121535503
10	0.881655176
11	0.8540452385
12	0.8317225995
13	0.8129712378
14	0.7953911299
15	0.7785761905
16	0.7668303244
17	0.7520339997
18	0.7402631546
19	0.7287297089
20	0.7180005834
21	0.7123992482
22	0.7060839997
23	0.6971428018
24	0.6924648255
25	0.6860782831
26	0.6809830669
27	0.6753625918
28	0.6706932488
29	0.6661347539
30	0.6616205291
31	0.6580161934
32	0.6537492832
33	0.6494908779
34	0.6453419569
35	0.6409653901
36	0.6385342306
37	0.6357211787
38	0.6326128671
39	0.6306273349
40	0.6281456275
41	0.6253549354
42	0.6221421778
43	0.6193556742
44	0.6176398322
45	0.6165021215
46	0.6146635087
47	0.612360039
48	0.6098902615
49	0.6077325238
50	0.6058175002
51	0.6039160917
52	0.6013320685
53	0.5992093777
54	0.5971421776
55	0.5955982997
56	0.5937000149
57	0.5917071042
58	0.5903434313
59	0.5879402868
60	0.5857719382
61	0.5831130014
62	0.5814198955
63	0.5800078266
64	0.5779093034
65	0.5763449683
66	0.5745620523
67	0.5735204282
68	0.5724829831
69	0.5712185538
70	0.5700302604
71	0.5687176974
72	0.5675011964
73	0.5657390876
74	0.5641689093
75	0.5634039434
76	0.5620209375
77	0.5612065541
78	0.5601201224
79	0.5589327683
80	0.5582264917
81	0.5571993196
82	0.5563421385
83	0.5553875264
84	0.553920597
85	0.5522283782
86	0.5512166387
87	0.5498755853
88	0.5490768357
89	0.5480428278
90	0.5467125917
91	0.5454780434
92	0.5440596638
93	0.5429641462
94	0.5415149122
95	0.5404011379
96	0.5392451143
97	0.538453784
98	0.5373678025
99	0.5363852542
100	0.5349014213
101	0.5332541972
102	0.5324860297
103	0.5313592032
104	0.5300661113
105	0.5287505566
106	0.5281929507
107	0.5274649494
108	0.5268347063
109	0.5258047298
110	0.5248296574
111	0.5237826354
112	0.5227961012
113	0.5220133868
114	0.5211021906
115	0.5197009073
116	0.5189314596
117	0.5176746293
118	0.5169654507
119	0.5165147183
120	0.5152698894
121	0.5148897885
122	0.5138204755
123	0.5126370064
124	0.5118845983
125	0.5110935853
126	0.5106424971
127	0.5099573219
128	0.5089171208
129	0.5083855882
130	0.5080100598
131	0.507197864
