iter	Passed	Remaining
0	82	82253
1	109	54864
2	135	45171
3	158	39384
4	179	35761
5	217	35986
6	243	34552
7	266	33044
8	294	32466
9	318	31564
10	345	31082
11	371	30570
12	403	30651
13	432	30437
14	455	29937
15	479	29503
16	500	28957
17	526	28706
18	549	28394
19	577	28278
20	602	28093
21	625	27785
22	649	27606
23	676	27496
24	699	27289
25	723	27100
26	746	26904
27	776	26948
28	799	26776
29	822	26588
30	846	26472
31	871	26357
32	894	26218
33	925	26292
34	949	26189
35	977	26165
36	1000	26040
37	1029	26058
38	1055	26006
39	1075	25822
40	1096	25658
41	1123	25617
42	1151	25634
43	1177	25594
44	1201	25508
45	1224	25403
46	1248	25307
47	1274	25280
48	1298	25198
49	1321	25111
50	1344	25025
51	1369	24973
52	1398	24989
53	1421	24904
54	1448	24896
55	1480	24961
56	1505	24909
57	1531	24868
58	1554	24791
59	1582	24795
60	1609	24768
61	1635	24739
62	1660	24703
63	1695	24800
64	1720	24752
65	1744	24684
66	1774	24712
67	1797	24640
68	1822	24594
69	1847	24541
70	1871	24493
71	1897	24460
72	1929	24501
73	1954	24455
74	1980	24426
75	2004	24371
76	2029	24330
77	2060	24357
78	2084	24300
79	2111	24282
80	2137	24256
81	2166	24251
82	2189	24193
83	2212	24125
84	2238	24093
85	2262	24048
86	2285	23984
87	2316	24005
88	2338	23933
89	2362	23889
90	2394	23920
91	2419	23876
92	2444	23845
93	2473	23837
94	2498	23803
95	2525	23777
96	2548	23725
97	2572	23678
98	2597	23640
99	2622	23599
100	2649	23580
101	2674	23548
102	2698	23504
103	2722	23457
104	2751	23452
105	2776	23414
106	2798	23357
107	2821	23307
108	2849	23289
109	2873	23250
110	2896	23200
111	2925	23196
112	2951	23167
113	2978	23149
114	3003	23117
115	3029	23088
116	3051	23027
117	3075	22988
118	3103	22978
119	3125	22923
120	3156	22930
121	3178	22874
122	3204	22847
123	3227	22797
124	3249	22744
125	3272	22702
126	3291	22628
127	3315	22584
128	3337	22537
129	3362	22502
130	3383	22447
131	3409	22419
132	3429	22357
133	3451	22302
134	3474	22261
135	3496	22211
136	3519	22172
137	3539	22108
138	3559	22047
139	3582	22005
140	3600	21933
141	3619	21867
142	3639	21812
143	3658	21746
144	3676	21677
145	3695	21617
146	3714	21553
147	3732	21485
148	3752	21431
149	3770	21368
150	3792	21322
151	3813	21272
152	3866	21407
153	3892	21383
154	3916	21349
155	3937	21301
156	3969	21313
157	3990	21265
158	4012	21224
159	4032	21171
160	4049	21102
161	4068	21044
162	4086	20983
163	4112	20961
164	4132	20911
165	4150	20851
166	4168	20793
167	4187	20738
168	4204	20673
169	4225	20630
170	4244	20574
171	4267	20543
172	4285	20486
173	4304	20432
174	4322	20375
175	4340	20322
176	4357	20259
177	4379	20226
178	4405	20205
179	4428	20176
180	4462	20190
181	4500	20228
182	4528	20218
183	4558	20218
184	4595	20243
185	4627	20250
186	4663	20275
187	4727	20418
188	4759	20421
189	4778	20373
190	4818	20409
191	4837	20358
192	4860	20323
193	4879	20273
194	4898	20221
195	4921	20188
196	4941	20142
197	4960	20093
198	4980	20045
199	4998	19994
200	5020	19956
201	5039	19910
202	5058	19861
203	5085	19841
204	5107	19805
205	5128	19768
206	5149	19727
207	5167	19678
208	5187	19632
209	5205	19582
210	5224	19536
211	5242	19487
212	5262	19445
213	5281	19400
214	5303	19364
215	5323	19322
216	5340	19270
217	5358	19222
218	5377	19176
219	5395	19130
220	5416	19094
221	5436	19051
222	5456	19012
223	5476	18972
224	5494	18926
225	5517	18896
226	5537	18857
227	5557	18815
228	5575	18772
229	5593	18727
230	5612	18682
231	5631	18641
